id,list_price,uom_id/id,categ_id/id,name,sale_ok,company_id/id,uom_po_id,type,purchase_ok,active
157,1.00,1,1,Nº7 Art 23º Tabela Geral-Fita anunciadora,TRUE,1,1,product,FALSE,TRUE
158,1.00,1,1,"Nº8 Art 23º Tabela Geral-Passarela,varanda,escadas",TRUE,1,1,product,FALSE,TRUE
159,1.00,1,1,a)Nº1 Art 24º Tabela Geral-Construções provisórias,TRUE,1,1,product,FALSE,TRUE
160,1.00,1,1,b)Nº1 Art 24º Tabela Geral-Construções provisórias,TRUE,1,1,product,FALSE,TRUE
161,1.00,1,1,c)Nº1 Art 24º Tabela Geral-Construções provisórias,TRUE,1,1,product,FALSE,TRUE
162,1.00,1,1,Nº2 Art 24º Tabela Geral-Cabine /Posto telefónico,TRUE,1,1,product,FALSE,TRUE
163,1.00,1,1,a)Nº3 Art 24º Tabela Geral-Posto transformação 3m3,TRUE,1,1,product,FALSE,TRUE
164,1.00,1,1,b)Nº3 Art24º Tabela Geral-Posto transformação,TRUE,1,1,product,FALSE,TRUE
165,1.00,1,1,Nº4 Art 24º Tabela Geral-Depósitos subterrâneos,TRUE,1,1,product,FALSE,TRUE
166,1.00,1,1,"Nº5 Art24º Tabela Geral-Pavilhões,quiosques,outros",TRUE,1,1,product,FALSE,TRUE
167,1.00,1,1,Nº6 Art 24º Tabela Geral-Venda Ambulante,TRUE,1,1,product,FALSE,TRUE
168,1.00,1,1,a)Nº1 Art 25º Tabela Geral-Postos e marcos,TRUE,1,1,product,FALSE,TRUE
169,1.00,1,1,b)Nº1 Art 25º Tabela Geral-Postos e marcos,TRUE,1,1,product,FALSE,TRUE
170,1.00,1,1,c)Nº1 Art 25º Tabela Geral-Postos e marcos,TRUE,1,1,product,FALSE,TRUE
171,1.00,1,1,Nº2 Art 25º Tabela Geral-Esplanadas Fechadas,TRUE,1,1,product,FALSE,TRUE
172,1.00,1,1,"Nº3 Art 25º Tabela Geral-Mesas, cadeiras",TRUE,1,1,product,FALSE,TRUE
173,1.00,1,1,"Nº4 Art 25º Tabela Geral-Tubos,condutas,cabos?",TRUE,1,1,product,FALSE,TRUE
174,1.00,1,1,Nº5 Art 25º Tabela Geral-Antenas p/emissões,TRUE,1,1,product,FALSE,TRUE
175,1.00,1,1,a)Nº8 Art 25ºTabela Geral-Circo p/dia,TRUE,1,1,product,FALSE,TRUE
176,1.00,1,1,b)Nº8 Art 25ºTabela Geral-Circo p/semana,TRUE,1,1,product,FALSE,TRUE
177,1.00,1,1,a)Nº8 Art 25ºTabela Geral-Circo p/mês,TRUE,1,1,product,FALSE,TRUE
178,1.00,1,1,Nº9 Art 25º Tabela Geral-Expositores,TRUE,1,1,product,FALSE,TRUE
179,1.00,1,1,Nº10 Art 25º Tabela Geral-Tapumes,TRUE,1,1,product,FALSE,TRUE
180,1.00,1,1,Nº10 Art 25º Tabela Geral-Tapumes,TRUE,1,1,product,FALSE,TRUE
181,1.00,1,1,Nº11 Art 25º Tabela Geral-Andaimes,TRUE,1,1,product,FALSE,TRUE
182,1.00,1,1,Nº11 Art 25º Tabela Geral-Andaimes,TRUE,1,1,product,FALSE,TRUE
183,1.00,1,1,Nº12 Art 25º Tabela Geral-Auto-bombas,TRUE,1,1,product,FALSE,TRUE
184,1.00,1,1,Nº12 Art 25º Tabela Geral-Auto-bombas,TRUE,1,1,product,FALSE,TRUE
