id,list_price,uom_id/id,cost_method,categ_id/id,name,sale_ok,company_id/id,uom_po_id,type,supply_method,procure_method,purchase_ok,standard_price
151,1.00,1,standard,1,a)Nº4 Art 23º Tabela Geral-Alpendres até 1m,TRUE,1,1,product,produce,make_to_stock,FALSE,1
152,1.00,1,standard,1,b)Nº4 Art 23º Tabela Geral-Alpendres c/mais de 1m,TRUE,1,1,product,produce,make_to_stock,FALSE,1
153,1.00,1,standard,1,a)Nº5 Art 23º Tabela Geral-Toldos até 1m,TRUE,1,1,product,produce,make_to_stock,FALSE,1
154,1.00,1,standard,1,b)Nº5 Art 23º Tabela Geral-Toldos c/mais de 1m,TRUE,1,1,product,produce,make_to_stock,FALSE,1
155,1.00,1,standard,1,Obs nº12 Art35º Reg.Geral Taxas-Pub com ocup.via,TRUE,1,1,product,produce,make_to_stock,FALSE,1
156,1.00,1,standard,1,Nº6 Art 23º Tabela Geral-Sanefas,TRUE,1,1,product,produce,make_to_stock,FALSE,1
157,1.00,1,standard,1,Nº7 Art 23º Tabela Geral-Fita anunciadora,TRUE,1,1,product,produce,make_to_stock,FALSE,1
158,1.00,1,standard,1,"Nº8 Art 23º Tabela Geral-Passarela,varanda,escadas",TRUE,1,1,product,produce,make_to_stock,FALSE,1
159,1.00,1,standard,1,a)Nº1 Art 24º Tabela Geral-Construções provisórias,TRUE,1,1,product,produce,make_to_stock,FALSE,1
160,1.00,1,standard,1,b)Nº1 Art 24º Tabela Geral-Construções provisórias,TRUE,1,1,product,produce,make_to_stock,FALSE,1
161,1.00,1,standard,1,c)Nº1 Art 24º Tabela Geral-Construções provisórias,TRUE,1,1,product,produce,make_to_stock,FALSE,1
162,1.00,1,standard,1,Nº2 Art 24º Tabela Geral-Cabine /Posto telefónico,TRUE,1,1,product,produce,make_to_stock,FALSE,1
163,1.00,1,standard,1,a)Nº3 Art 24º Tabela Geral-Posto transformação 3m3,TRUE,1,1,product,produce,make_to_stock,FALSE,1
164,1.00,1,standard,1,b)Nº3 Art24º Tabela Geral-Posto transformação,TRUE,1,1,product,produce,make_to_stock,FALSE,1
165,1.00,1,standard,1,Nº4 Art 24º Tabela Geral-Depósitos subterrâneos,TRUE,1,1,product,produce,make_to_stock,FALSE,1
166,1.00,1,standard,1,"Nº5 Art24º Tabela Geral-Pavilhões,quiosques,outros",TRUE,1,1,product,produce,make_to_stock,FALSE,1
167,1.00,1,standard,1,Nº6 Art 24º Tabela Geral-Venda Ambulante,TRUE,1,1,product,produce,make_to_stock,FALSE,1
168,1.00,1,standard,1,a)Nº1 Art 25º Tabela Geral-Postos e marcos,TRUE,1,1,product,produce,make_to_stock,FALSE,1
169,1.00,1,standard,1,b)Nº1 Art 25º Tabela Geral-Postos e marcos,TRUE,1,1,product,produce,make_to_stock,FALSE,1
170,1.00,1,standard,1,c)Nº1 Art 25º Tabela Geral-Postos e marcos,TRUE,1,1,product,produce,make_to_stock,FALSE,1
171,1.00,1,standard,1,Nº2 Art 25º Tabela Geral-Esplanadas Fechadas,TRUE,1,1,product,produce,make_to_stock,FALSE,1
172,1.00,1,standard,1,"Nº3 Art 25º Tabela Geral-Mesas, cadeiras",TRUE,1,1,product,produce,make_to_stock,FALSE,1
173,1.00,1,standard,1,"Nº4 Art 25º Tabela Geral-Tubos,condutas,cabos?",TRUE,1,1,product,produce,make_to_stock,FALSE,1
174,1.00,1,standard,1,Nº5 Art 25º Tabela Geral-Antenas p/emissões,TRUE,1,1,product,produce,make_to_stock,FALSE,1
175,1.00,1,standard,1,a)Nº8 Art 25ºTabela Geral-Circo p/dia,TRUE,1,1,product,produce,make_to_stock,FALSE,1
176,1.00,1,standard,1,b)Nº8 Art 25ºTabela Geral-Circo p/semana,TRUE,1,1,product,produce,make_to_stock,FALSE,1
